Complex_Number,Phase
(-0.5016173243677589+0.12564859876017564j),2.8961557275280914
0j,0.0
(0.5014572594819144-0.11260599321825637j),-0.22089323345554038
(-0.7090554780866958+0.15010819623405425j),2.9329712664373475
(0.5012990501082641-0.09971458082220863j),-0.1963495408493621
0j,0.0
(-0.5011424766556631+0.08695646857400874j),2.9697868053466014
(0.7086125468544315-0.11401672424051412j),-0.15953400194010553
(-0.5009873279587658+0.07431445003696169j),2.994330497952771
0j,0.0
(0.5008334000854973-0.06177190816491063j),-0.122718463030851
(-0.7081771031684769+0.07853536178142662j),3.031146036862028
(0.5006804952240169-0.049312724608171266j),-0.09817477042467682
0j,0.0
(-0.5005284206358227+0.03692119440902886j),3.0679615757712866
(0.7077469045985239-0.04348138836944315j),-0.061359231515420914
(-0.5003769876628976+0.024581945101015634j),3.0925052683774488
0j,0.0
(0.5002260107778086-0.01227985930763964j),-0.02454369260617016
(-0.7073198126899345+0.008680555791556799j),3.129320807286711
(0.5000753066664292-3.552713678800501e-15j),-7.104357346663204e-15
0j,0.0
(0.7068937496831613+0.02603643853245785j),0.03681553890925898
(-0.9993973651525532-0.049097244217851j),-3.0925052683774528
(0.7064674298772785+0.043402782109353666j),0.0613592315154268
0j,0.0
(-0.7060403384346161-0.06080055868382139j),-3.0556897294681953
(0.9981891848454754+0.09831305363137943j),0.09817477042468574
(-0.705611956786427-0.07825089240471961j),-3.031146036862028
0j,0.0
(0.7051817601028376+0.09577516247090223j),0.13499030933393455
(-0.9969722162494974-0.14788685824566628j),-2.9943304979527694
(0.7047492146980165+0.11339510883293613j),0.15953400194010492
0j,0.0
(-0.7043137753430351-0.13113294165502332j),-2.957514959043517
(0.9957404099903968+0.1980650822467851j),0.19634954084936593
(-0.7038748824572414-0.1490114557258888j),-2.9329712664373453
0j,0.0
(0.7034319591467346+0.16705415109757205j),0.2331650797586193
(-0.9944874225620515-0.24910613142604987j),-2.896155727528095
(0.7029844080557535+0.18528536134620133j),0.25770877236478934
0j,0.0
(-0.7025316079931843-0.20373039099226986j),-2.8593401886188374
(0.9932064813318675+0.3012858922493393j),0.29452431127404266
(-0.7020729102921743-0.222415663793889j),-2.834796496012664
0j,0.0
(0.7016076348555131+0.24136888384010113j),0.3313398501832965
(-0.991890230679922-0.3549039994532599j),-2.797980957103409
(0.7011350658331388+0.2606192116294501j),0.35588354278946926
0j,0.0
(-0.7006544468705354-0.28019745762919257j),-2.7611654181941576
(0.9905305515092842+0.4102911883800502j),0.3926990816987268
(-0.7001649758575699-0.30013629618373017j),-2.736621725587987
0j,0.0
(0.699665799096377+0.3204705030885986j),0.4295146206079797
(-0.989118344211084-0.46781813599979216j),-2.699806186678726
(0.6991560047936538+0.3412372206852634j),0.45405831321415197
0j,0.0
(-0.6986346157667791-0.36247625498061j),-2.6629906477694743
(0.9876432620420097+0.527906321908219j),0.4908738521234044
(-0.6981005812339864-0.38423041007829717j),-2.6384469551633005
0j,0.0
(0.6975527675355195+0.4065458661571739j),0.5276893910326621
(-0.986093377348622-0.5910416248392707j),-2.6016314162540466
(0.696989947604413+0.4294726083836462j),0.5522330836388301
0j,0.0
(-0.6964107889711499-0.45306491554827666j),-2.564815877344791
(0.9844547564927382+0.6577916382864935j),0.5890486225480867
(-0.6958138400441971-0.47738191893465576j),-2.5402721847386194
0j,0.0
(0.6951975143566518+0.5024882440395615j),0.6258641614573424
(-0.9827109096561468-0.7288280829739726j),-2.503456645829365
(0.6945600724052685+0.5284547503695656j),0.650407854063509
0j,0.0
(-0.6938996006286846-0.5553593877725618j),-2.4666411069201124
(0.9808420672722438+0.8049562817628697j),0.687223392972768
(-0.6932139869727862-0.5832881917947716j),-2.4420974143139396
0j,0.0
(0.6925008923669669+0.6123364456094205j),0.724038931882022
(-0.9788242129401112-0.8871545543656616j),-2.405281875404687
(0.6917577172785219+0.642610042438923j),0.7485826244881935
0j,0.0
(-0.6909815623139082-0.6742270904822085j),-2.368466336495431
(0.9766277688098484+0.9766277688098555j),0.7853981633974519
(-0.690169181581874-0.7073198126899332j),-2.3439226438892593
0j,0.0
(0.6893169272074609+0.7420368070139478j),0.8222137023067008
(-0.9742157758690659-1.074881468348785j),-2.3071071049800045
(0.6884206829634305+0.7785457499620012j),0.8467573949128746
0j,0.0
(-0.6874757844346284-0.8170366487426755j),-2.2702915660707474
(0.9715413247336464+1.1838265294423636j),0.8835729338221303
(-0.6864769224052409-0.8577257768313498j),-2.2457478734645795
0j,0.0
(0.6854180251964124+0.9008604670037794j),0.9203884727313838
(-0.9685438478143418-1.3059302021454826j),-2.208932334555321
(0.684292114391976+0.9467249884192412j),0.9449321653375536
0j,0.0
(-0.6830911266450919-0.9956478054128066j),-2.1721167956460645
(0.9651436347742219+1.4444395256030162j),0.9817477042468102
(-0.6818056918728885-1.0480106128447808j),-2.1475731030399
0j,0.0
(0.6804248548464358+1.1042596772656452j),1.018563243156069
(-0.9612334893843553-1.6037211900691375j),-2.1107575641306378
(0.6789357225642689+1.1649202013293642j),1.0431069357622367
0j,0.0
(-0.6773230132440311-1.2306146958343565j),-2.0739420252213887
(0.9566656216570948+1.789795492203119j),1.0799224746714917
(-0.6755684733371616-1.3020867279135366j),-2.049398332615217
0j,0.0
(0.6736501151886181+1.3802319753344534j),1.1167380135807454
(-0.951230264047382-2.0112074144522936j),-2.012582793705958
(0.6715412074761531+1.466139351443065j),1.1412817061869187
0j,0.0
(-0.6692089195396314-1.56114622906623j),-1.9757672547967038
(0.9446191959075918+2.280512474038087j),1.1780972450961742
(-0.6666124727643563-1.666913744805651j),-1.9512235621905394
0j,0.0
(0.6637005763963302+1.7855312523420803j),1.2149127840054306
(-0.9363600902378124-2.6169511398469965j),-1.9144080232812775
(0.6604078023416875+1.91966399673964j),1.2394564766115974
0j,0.0
(-0.6566493487921079-2.072766420692213j),-1.8775924843720222
(0.9256902602698105+3.051591826426698j),1.2762720155208538
(-0.652313290418185-2.2493978566516404j),-1.8530487917658525
0j,0.0
(0.6472487852136553+2.4557029267307655j),1.313087554430111
(-0.9112926780824608-3.6380843034163526j),-1.816233252856598
(0.6412475424236419+2.7001664556161327j),1.3376312470362781
0j,0.0
(-0.6340135860382077-2.9948451692859415j),-1.7794177139473415
(0.890680021418234+4.477750846523339j),1.3744467859455327
(-0.6251116749041046-3.357468826719238j),-1.7548740213411664
0j,0.0
(0.6138744589633518+3.8152222554412276j),1.411262324854794
(-0.8585228047562623-5.787690627227736j),-1.718058482431918
(0.5992239336002001+4.412018495090532j),1.4358060174609577
0j,0.0
(-0.5792981169604445-5.223706277457007j),-1.681242943522663
(0.8009650301654574+8.132334425785835j),1.4726215563702116
(-0.5505799637541315-6.393554144227798j),-1.656699250916489
0j,0.0
(0.5055329885062179+8.228564477925811j),1.5094370952794722
(-0.6672024497138409-13.58121786446136j),-1.6198837120072402
(0.42456238470805374+11.526941203059746j),1.53398078788564
0j,0.0
(-0.2358206207380249-19.215428285250347j),-1.5830681730979836
40.760032494192245j,1.5707963267948966
(0.7073198126900024-57.634710200263164j),-1.5585244804918104
(-1.5711118149713457+64j),1.5953400194010687
(2.1215333750628815-57.599993205939114j),-1.5339807878856437
(-2+40.71093524997437j),1.6198837120072371
(1.1783929416350816-19.180711290926325j),-1.5094370952794722
0j,0.0
(-0.9896511776650527+11.49222420873573j),1.6566992509164924
(1.332797550286159-13.532120620243496j),-1.4726215563702187
(-0.9086805738668886+8.193847483601804j),1.6812429435226655
0j,0.0
(0.8636335986189181-6.358837149903785j),-1.4358060174609637
(-1.1990349698345426+8.08323718156798j),1.7180584824319143
(0.8349154454126619-5.18898928313299j),-1.4112623248547882
0j,0.0
(-0.8149896287729064+4.377301500766519j),1.7548740213411735
(1.1414771952437377-5.738593383009881j),-1.3744467859455343
(-0.8003391034097405+3.780505261117213j),1.7794177139473473
0j,0.0
(0.7891018874689593-3.322751832395223j),-1.3376312470362812
(-1.109319978581766+4.428653602305484j),1.8162332528565972
(0.7801999763348775-2.960128174961927j),-1.3130875544301097
0j,0.0
(-0.7729660199494504+2.6654494612921233j),1.8530487917658525
(1.0887073219175392-3.588987059198505j),-1.2762720155208525
(-0.766964777159437+2.4209859324067473j),1.8775924843720262
0j,0.0
(0.7619002719549144-2.2146808623276186j),-1.2394564766115945
(-1.0743097397301895+3.002494582208847j),1.914408023281281
(0.7575642135809773-2.0380494263681967j),-1.2149127840054297
0j,0.0
(-0.7538057600314048+1.8849470024156254j),1.9512235621905334
(1.0636399097621805-2.567853895629149j),-1.1780972450961722
(-0.750512985976755+1.7508142580180621j),1.9757672547967033
0j,0.0
(0.747601089608736-1.6321967504816328j),-1.1412817061869214
(-1.0553808040924153+2.2314152298202323j),2.0125827937059655
(0.7450046428334609-1.5264292347422153j),-1.1167380135807459
0j,0.0
(-0.7426723548969427+1.4314223571190485j),2.049398332615219
(1.0487697359526038-1.962110170234439j),-1.0799224746714944
(-0.7405634471844813+1.3455149810104388j),2.0739420252213874
0j,0.0
(0.7386450890359342-1.2673697335895202j),-1.0431069357622365
(-1.0433343783429052+1.7406982479852644j),2.1107575641306426
(0.7368905491290683-1.19589770151034j),-1.0185632431560636
0j,0.0
(-0.7352778398088269+1.130203207005346j),2.147573103039899
(1.0387665106156376-1.554623945851283j),-0.9817477042468097
(-0.7337887075266529+1.0695426829416288j),2.172116795646065
0j,0.0
(0.7324078705002037-1.013293618520768j),-0.9449321653375579
(-1.034856365225778+1.3953422813851653j),2.2089323345553242
(0.7311224357279968-0.9609308110887902j),-0.9203884727313848
0j,0.0
(-0.7299214479811198+0.9120079940952301j),2.2457478734645786
(1.0314561521856582-1.256832957927628j),-0.8835729338221275
(-0.7287955371766799+0.8661434726797648j),2.2702915660707457
0j,0.0
(0.7277366399678549-0.8230087825073369j),-0.8467573949128763
(-1.0284586752663536+1.134729285224509j),2.307107104980004
(0.7267377779384656-0.782319654418659j),-0.8222137023067029
0j,0.0
(-0.7257928794096653+0.743828755637983j),2.3439226438892606
(1.025784224130934-1.0257842241309376j),-0.78539816339745
(-0.7248966351656385+0.7073198126899367j),2.3684663364954286
0j,0.0
(0.72404438079122-0.6726028183659185j),-0.7485826244881918
(-1.023372231190148+0.9275305245919974j),2.405281875404686
(0.7232320000591876-0.6395100961581939j),-0.7240389318820208
0j,0.0
(-0.722455845094574+0.6078930481149083j),2.4420974143139422
(1.0211757870598852-0.8380573101478141j),-0.6872233929727685
(-0.7217126700061254+0.5776194512854111j),2.4666411069201075
0j,0.0
(0.720999575400306-0.5485711974707552j),-0.6504078540635103
(-1.0191579327277562+0.7558590375450187j),2.5034566458293663
(0.7203139617444112-0.5206423934485507j),-0.625864161457344
0j,0.0
(-0.7196534899678273+0.4937377560455509j),2.5402721847386243
(1.017289090343855-0.6797308387561181j),-0.5890486225480852
(-0.7190160480164423+0.46777124971554507j),2.5648158773447927
0j,0.0
(0.7183997223288987-0.44266492461063756j),-0.5522330836388306
(-1.01554524350726+0.6086943940686425j),2.601631416254049
(0.7178027734019459-0.41834792122426023j),-0.5276893910326599
0j,0.0
(-0.7172236147686828+0.3947556140596351j),2.638446955163299
(1.0139066226513762-0.5419443806214197j),-0.4908738521234067
(-0.7166607948375772+0.37182887183315927j),2.6629906477694716
0j,0.0
(0.7161129811391094-0.34951341575427897j),-0.45405831321414686
(-1.0123567379579903+0.47880907769036796j),2.699806186678729
(0.7155789466063167-0.3277592606565971j),-0.4295146206079797
0j,0.0
(-0.7150575575794411+0.30652022636125054j),2.7366217255879803
(1.0108816557889142-0.41872089178194116j),-0.39269908169872597
(-0.7145477632767179+0.28575350876458216j),2.7611654181941567
0j,0.0
(0.7140485865155242-0.2654193018597155j),-0.3558835427894662
(-1.0094694484907167+0.3611939441621921j),2.797980957103413
(0.7135591155025596-0.24548046330518325j),-0.3313398501833011
0j,0.0
(-0.7130784965399561+0.22590221730543725j),2.834796496012663
(1.0081097693200762-0.3058067552354089j),-0.2945243112740438
(-0.7126059275175827+0.20665188951608826j),2.859340188618835
0j,0.0
(0.7121406520809201-0.18769866946987435j),-0.25770877236478823
(-1.0067935186681325+0.2521886480314883j),2.896155727528091
(0.7116819543799111-0.169013396668257j),-0.23316507975861772
0j,0.0
(-0.7112291543173423+0.1505683670221849j),2.932971266437347
(1.0055125774379476-0.20000888720820242j),-0.1963495408493607
(-0.7107816032263599+0.1323371567735574j),2.957514959043515
0j,0.0
(0.7103386799158542-0.11429446140187416j),-0.15953400194010706
(-1.0042595900096023+0.14896783802893054j),2.9943304979527716
(0.7098997870300598-0.09641594733100867j),-0.13499030933393513
0j,0.0
